"","Country","year","AverageTemperature_2013","AverageTemperature_avg","variance","difference"
"1","Åland",2013,6.22975,5.26183451083872,0.936860394158311,0.967915489161276
"2","Afghanistan",2013,16.533625,14.061307148423,6.11235555922628,2.47231785157699
"3","Africa",2013,25.20875,24.0721204497808,1.29192673443144,1.13662955021917
"4","Albania",2013,14.993875,12.5773670128249,5.83951085208117,2.41650798717512
"5","Algeria",2013,25.1215,22.9395899245762,4.76073157723608,2.18191007542384
"6","American Samoa",2013,27.51725,26.6022359206142,0.837250765474319,0.915014079385841
"7","Andorra",2013,12.307875,11.1718735529452,1.29049928771064,1.13600144705482
"8","Angola",2013,22.507875,21.8181823607798,0.475675936594507,0.689692639220187
"9","Anguilla",2013,27.363,26.6102766147186,0.566592494749468,0.752723385281385
"10","Antigua And Barbuda",2013,27.249625,26.4378162034632,0.659033522134525,0.811808796536798
"11","Argentina",2013,14.457125,14.6147874737946,0.0248574556430173,-0.15766247379455
"12","Armenia",2013,11.34375,8.57667016866781,7.65673079296538,2.76707983133219
"13","Aruba",2013,28.54125,27.9198361933622,0.386155119080086,0.621413806637804
"14","Asia",2013,10.047375,7.35462916411591,7.25088013667113,2.69274583588409
"15","Australia",2013,22.142875,21.6188376901733,0.274615102090363,0.52403730982666
"16","Austria",2013,8.055125,6.17748846612189,3.52551895335379,1.87763653387811
"17","Azerbaijan",2013,14.173875,11.1611501483279,9.07651103188244,3.01272485167206
"18","Bahamas",2013,26.0116666666667,25.1070935253004,0.818252568081243,0.904573141366271
"19","Bahrain",2013,27.925375,25.9182170745921,4.02868293752784,2.00715792540792
"20","Baker Island",2013,26.43175,25.3629340508746,1.14236753310483,1.0688159491254
"21","Bangladesh",2013,25.9675,24.821377665809,1.31359640493135,1.14612233419097
"22","Barbados",2013,27.251125,26.4583677705628,0.62846402482499,0.792757229437228
"23","Belarus",2013,8.2665,5.77588422142776,6.203166956473,2.49061577857224
"24","Belgium",2013,10.060125,9.45710872772671,0.363628624626379,0.603016272273294
"25","Belize",2013,26.2133333333333,25.0530396613191,1.34628140531634,1.16029367201426
"26","Benin",2013,28.160625,27.1666125806313,0.98806068985924,0.994012419368712
"27","Bhutan",2013,13.331375,11.8184739263996,2.28886965850135,1.51290107360044
"28","Bolivia",2013,20.640875,20.8739177148847,0.05430890696083,-0.233042714884697
"29","Bonaire, Saint Eustatius And Saba",2013,27.919625,27.1729736782107,0.557488196329742,0.746651321789322
"30","Bosnia And Herzegovina",2013,12.8795,10.3874466150267,6.21033007355702,2.49205338497333
"31","Botswana",2013,21.82575,21.8757488322718,0.00249988322854007,-0.0499988322717648
"32","Brazil",2013,25.348125,24.6992800728277,0.420999739517193,0.648844927172274
"33","British Virgin Islands",2013,27.3123333333333,26.3363071601732,0.952627090693696,0.976026173160175
"34","Bulgaria",2013,13.411875,10.4459332084894,8.79681071062918,2.96594179151061
"35","Burkina Faso",2013,29.3855,28.0705107443865,1.72919674237884,1.31498925561346
"36","Burma",2013,25.252875,23.6925427221463,2.43463681731219,1.56033227785372
"37","Burundi",2013,20.86275,20.0553741842625,0.65185570783787,0.807375815737547
"38","Côte D'Ivoire",2013,27.061125,25.9457772582513,1.24400058502392,1.1153477417487
"39","Cambodia",2013,28.259625,26.6501327252409,2.59046538250917,1.60949227475908
"40","Cameroon",2013,25.307625,24.3486620244433,0.919609988488604,0.958962975556723
"41","Canada",2013,-1.64066666666667,-5.33468003931511,13.6457347973055,3.69401337264844
"42","Cape Verde",2013,24.5305,24.1800089662447,0.122843964742839,0.350491033755272
"43","Cayman Islands",2013,27.5582222222222,26.7235980221059,0.696597555419854,0.834624200116348
"44","Central African Republic",2013,26.210875,25.2774919613607,0.871203896819511,0.933383038639288
"45","Chad",2013,28.356,27.1041456395519,1.56713933977295,1.25185436044811
"46","Chile",2013,9.877375,9.37965932914046,0.24772088901916,0.497715670859538
"47","China",2013,9.295,6.6162640950041,7.17562604871423,2.6787359049959
"48","Christmas Island",2013,27.01075,25.7776548027444,1.52052376549476,1.23309519725557
"49","Colombia",2013,25.5795,24.7178915882968,0.742369055117775,0.861608411703237
"50","Comoros",2013,26.542875,25.7004807544493,0.709628064937011,0.842394245550746
"51","Congo",2013,25.139375,24.4564246738622,0.466421147971765,0.682950326137828
"52","Congo (Democratic Republic Of The)",2013,24.560375,23.7631877203502,0.635507558835416,0.79718727964978
"53","Costa Rica",2013,26.4575555555556,25.6170754942059,0.70640673352638,0.840480061349691
"54","Croatia",2013,13.589,11.3077741601407,5.20399133244161,2.28122583985927
"55","Cuba",2013,26.2504444444444,25.4085298138453,0.708820245216961,0.841914630599184
"56","Curaçao",2013,28.1205,27.3531565743146,0.588815932942643,0.767343425685425
"57","Cyprus",2013,20.349875,18.7945892274766,2.41891383421383,1.55528577252344
"58","Czech Republic",2013,9.281,7.59251679718534,2.85097552618727,1.68848320281466
"59","Denmark",2013,-14.92725,-18.0475955497382,9.73655634977111,3.12034554973822
"60","Denmark (Europe)",2013,8.516375,7.80632980081716,0.504164184882598,0.710045199182839
"61","Djibouti",2013,30.74475,28.8218648626553,3.69748725142102,1.92288513734467
"62","Dominica",2013,26.922125,26.1099735714286,0.659589942930613,0.812151428571429
"63","Dominican Republic",2013,26.2903333333333,25.5364660299807,0.568315911064233,0.753867303352674
"64","Ecuador",2013,22.264125,21.868125733077,0.156815419403522,0.39599926692296
"65","Egypt",2013,24.50525,22.6130924628942,3.58026014522611,1.89215753710575
"66","El Salvador",2013,25.9107777777778,24.8984180265739,1.02487226585753,1.01235975120385
"67","Equatorial Guinea",2013,25.5905,24.9167528236028,0.453935257703166,0.673747176397175
"68","Eritrea",2013,28.5035,26.8061895833333,2.88086265052516,1.69731041666666
"69","Estonia",2013,6.96175,4.77811451594598,4.76826392721985,2.18363548405402
"70","Ethiopia",2013,24.6315,23.0128021330325,2.62018278452529,1.61869786696755
"71","Europe",2013,9.67025,7.7951019464306,3.51618022280512,1.8751480535694
"72","Falkland Islands (Islas Malvinas)",2013,7.346,6.07844874065329,1.60668619507144,1.26755125934671
"73","Faroe Islands",2013,7.076625,6.60651783282261,0.221000748631553,0.470107167177392
"74","Federated States Of Micronesia",2013,27.99725,26.9330190688941,1.1325874747226,1.06423093110593
"75","Fiji",2013,25.941375,25.02569700136,0.838466197193446,0.915677998640049
"76","Finland",2013,4.064125,1.1995130660538,8.20600153210701,2.8646119339462
"77","France",2013,13.584625,12.7491888264669,0.697953600047599,0.835436173533083
"78","France (Europe)",2013,11.19575,10.388266825559,0.65202907700538,0.807483174441041
"79","French Guiana",2013,26.528875,25.7123446507936,0.666721811175049,0.816530349206353
"80","French Polynesia",2013,26.907875,26.0989917798586,0.654292063826275,0.808883220141372
"81","French Southern And Antarctic Lands",2013,5.6855,4.97810888429752,0.500402190574798,0.707391115702479
"82","Gabon",2013,24.8385,24.2495700769763,0.34683845423267,0.588929923023674
"83","Gambia",2013,28.724375,27.5347223484848,1.41527343125704,1.18965265151515
"84","Gaza Strip",2013,20.78225,19.1121160451603,2.78934742710836,1.67013395483966
"85","Georgia",2013,10.686625,8.07650114678899,6.8127465291011,2.61012385321101
"86","Germany",2013,9.23525,8.12285584780388,1.23742074984012,1.11239415219612
"87","Ghana",2013,27.7175,26.7096801675697,1.01570081463977,1.00781983243026
"88","Greece",2013,17.1535,14.7396355266145,5.82674169587286,2.41386447338554
"89","Greenland",2013,-15.40975,-18.5819123036649,10.0626136807927,3.17216230366492
"90","Grenada",2013,27.612875,26.7420095541126,0.758406624840741,0.870865445887446
"91","Guadeloupe",2013,27.15675,26.3294663088023,0.684398305721679,0.827283691197692
"92","Guam",2013,27.658875,26.9988224474474,0.435669372131141,0.660052552552553
